#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2026-09-18T16:18:34 [V7.6]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	service_protocol=ASU	  IVOID of the protocol through which the data was retrieved
#INFO	request_date=2026-09-18T16:18:34	  Query execution date
#INFO	request=https://vizier.cds.unistra.fr/viz-bin/asu-tsv?-source=II/246&-c=&-c.rs=5&limit=5000&-out=2MASS,RAJ2000,DEJ2000,Kmag	  Full request URL
#INFO	contact=cds-question@unistra.fr	  Email or URL to contact publisher
#INFO	server_software=VizieR/7.6	  Software version
#INFO	publisher=CDS	  Data centre that produced the VOTable
#INFO	MaxTuples=50000	

#RESOURCE=yCat_2246
#Name: II/246
#Title: 2MASS All-Sky Catalog of Point Sources (Cutri+ 2003)
#INFO	ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	data_ivoid=ivo://cds.vizier/ii/246	    IVOID of underlying data collection
#INFO	creator=Cutri R.M.	    First author or institution
#INFO	cites=bibcode:2003yCat.2246....0C	    Bibcode of the dataset
#INFO	journal=yCat	    Journal name
#INFO	original_date=2003	    Year of the article publication
#INFO	reference_url=https://cdsarc.cds.unistra.fr/viz-bin/cat/II/246	    Dataset landing page
#INFO	publication_date=2025-03-11	    Date of first publication in the data centre
#INFO	rights_uri=https://cds.unistra.fr/vizier-org/licences_vizier.html	    Licence URI
#Table	II_246_out:
#Name: II/246/out
#Title: 2MASS Point Source Catalogue, output (on a total of 470,992,970 sources)
#Column	2MASS	(a17)	(designation) Source designation (1)	[ucd=meta.id;meta.main]
#Column	RAJ2000	(F10.6)	(ra) Right ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(F10.6)	(dec) Declination (J2000) (dec)	[ucd=pos.eq.dec;meta.main]
#Column	Kmag	(F6.3)	?(k_m) K selected default magnitude (2)	[ucd=phot.mag;em.IR.K]
2MASS	RAJ2000	DEJ2000	Kmag
03101456+0339045 	047.560668	+03.651257	15.167
03101651+0340102 	047.568798	+03.669524	16.034
03102090+0341165 	047.587119	+03.687938	15.173
03103296+0340293 	047.637360	+03.674817	12.608
03103218+0340458 	047.634093	+03.679412	14.906
03103140+0341042 	047.630850	+03.684526	14.783
03102839+0341084 	047.618322	+03.685674	15.779
03102995+0342095 	047.624808	+03.702646	15.497
03102869+0342272 	047.619578	+03.707560	14.941
03103106+0342547 	047.629446	+03.715220	15.395
03102901+0343094 	047.620887	+03.719304	15.413
03090726+0327519 	047.280255	+03.464438	14.983
03091241+0328014 	047.301722	+03.467060	13.524
03090718+0329018 	047.279950	+03.483854	14.350
03092084+0329198 	047.336861	+03.488861	15.460
03091645+0328563 	047.318572	+03.482317	15.967
03091478+0329487 	047.311613	+03.496878	15.432
03091610+0329599 	047.317101	+03.499990	15.337
03091141+0329576 	047.297557	+03.499334	15.251
03091424+0330320 	047.309338	+03.508913	13.392
03091707+0331376 	047.321125	+03.527132	15.422
03091929+0332272 	047.330389	+03.540899	15.850
03085490+0329484 	047.228789	+03.496790	15.616
03090025+0330058 	047.251063	+03.501615	13.005
03085728+0331017 	047.238691	+03.517144	14.656
03090100+0331275 	047.254202	+03.524318	15.749
03085444+0331251 	047.226865	+03.523646	13.769
03090920+0332294 	047.288367	+03.541505	14.644
03091339+0331482 	047.305803	+03.530082	16.016
03091582+0332449 	047.315955	+03.545809	13.256
03091154+0332358 	047.298097	+03.543287	15.477
03091409+0332593 	047.308749	+03.549813	15.921
03090215+0332296 	047.258979	+03.541569	12.060
03091113+0333217 	047.296412	+03.556029	15.375
03093403+0331307 	047.391804	+03.525214	15.152
03092675+0331261 	047.361480	+03.523919	12.526
03092020+0332409 	047.334207	+03.544719	13.646
03092048+0332411 	047.335367	+03.544775	15.262
03092086+0333022 	047.336937	+03.550625	15.543
03094140+0334039 	047.422516	+03.567774	15.616
03094254+0334232 	047.427269	+03.573112	13.033
03095008+0335064 	047.458672	+03.585136	14.577
03094509+0335039 	047.437901	+03.584424	15.496
03093496+0334333 	047.395702	+03.575939	15.788
03093734+0335102 	047.405613	+03.586180	15.457
03094379+0336078 	047.432470	+03.602190	12.623
03093878+0336216 	047.411600	+03.606016	14.925
03094029+0337038 	047.417877	+03.617733	16.083
03092430+0335252 	047.351278	+03.590346	15.156
03092339+0335378 	047.347487	+03.593848	15.586
03091214+0335068 	047.300602	+03.585235	15.677
03091082+0334580 	047.295097	+03.582803	13.511
03091375+0335155 	047.307325	+03.587666	14.622
03091426+0335573 	047.309438	+03.599272	16.795
03092271+0336089 	047.344645	+03.602484	15.753
03092065+0336146 	047.336078	+03.604061	16.321
03091996+0336119 	047.333186	+03.603316	11.672
03092017+0336422 	047.334071	+03.611742	14.363
03093315+0335529 	047.388134	+03.598036	15.494
03093058+0337145 	047.377429	+03.620722	15.789
03092291+0336442 	047.345493	+03.612279	15.741
03092314+0337153 	047.346439	+03.620923	13.666
03085066+0332039 	047.211104	+03.534424	15.710
03085033+0332161 	047.209731	+03.537810	15.230
03085271+0333122 	047.219659	+03.553400	13.522
03085408+0333202 	047.225369	+03.555618	15.329
03084215+0332374 	047.175633	+03.543730	14.576
03084574+0332593 	047.190590	+03.549825	15.515
03083975+0332472 	047.165642	+03.546472	15.494
03084355+0333065 	047.181461	+03.551808	14.544
03084157+0333206 	047.173220	+03.555741	15.416
03084841+0334280 	047.201746	+03.574457	14.642
03085377+0334178 	047.224042	+03.571637	12.718
03085134+0334137 	047.213937	+03.570486	14.999
03085338+0335118 	047.222426	+03.586620	15.646
03085471+0336014 	047.227993	+03.600390	13.789
03083287+0334554 	047.136990	+03.582071	15.766
03083670+0335024 	047.152924	+03.584027	14.768
03083872+0336193 	047.161362	+03.605369	14.193
03083534+0336374 	047.147278	+03.610397	13.879
03084882+0336390 	047.203433	+03.610851	15.812
03085083+0337059 	047.211826	+03.618327	15.861
03085138+0337592 	047.214114	+03.633127	13.567
03084495+0337053 	047.187333	+03.618166	15.012
03084206+0337428 	047.175272	+03.628583	15.105
03084517+0337471 	047.188218	+03.629769	16.199
03085106+0338070 	047.212769	+03.635283	15.810
03084660+0339087 	047.194185	+03.652422	14.882
03091629+0337417 	047.317909	+03.628267	15.087
03091532+0337352 	047.313870	+03.626469	15.076
03090423+0336261 	047.267639	+03.607264	15.449
03090479+0336329 	047.269971	+03.609164	15.822
03090601+0337337 	047.275069	+03.626048	13.867
03090971+0337568 	047.290460	+03.632464	16.229
03090857+0338068 	047.285731	+03.635233	13.324
03090722+0338103 	047.280117	+03.636196	14.974
03090628+0338252 	047.276189	+03.640343	14.758
03090901+0338513 	047.287558	+03.647589	14.953
03092222+0338079 	047.342614	+03.635553	15.443
03092336+0339595 	047.347346	+03.666543	11.557
03091336+0339311 	047.305667	+03.658649	15.820
03091883+0340315 	047.328498	+03.675440	14.665
03091850+0341104 	047.327111	+03.686229	16.053
03090283+0339209 	047.261809	+03.655822	15.804
03085884+0339218 	047.245176	+03.656070	14.413
03090249+0339583 	047.260386	+03.666222	14.602
03085161+0340133 	047.215069	+03.670380	14.643
03085679+0340588 	047.236625	+03.683025	15.541
03085675+0341072 	047.236482	+03.685341	15.285
03090835+0339386 	047.284799	+03.660738	15.074
03090942+0340034 	047.289291	+03.667636	15.571
03090703+0339479 	047.279313	+03.663313	12.144
03090981+0341593 	047.290876	+03.699806	12.638
03090190+0341012 	047.257929	+03.683671	15.097
03091181+0342294 	047.299234	+03.708173	15.909
03091228+0342362 	047.301177	+03.710063	14.260
03091019+0342467 	047.292461	+03.712998	14.080
03090855+0343321 	047.285644	+03.725594	14.401
03095052+0335074 	047.460523	+03.585389	14.046
03095165+0335530 	047.465227	+03.598057	12.544
03095295+0335444 	047.470635	+03.595691	15.688
03094721+0336574 	047.446729	+03.615948	13.966
03095128+0338596 	047.463701	+03.649893	12.080
03100448+0338586 	047.518693	+03.649631	16.348
03100280+0339479 	047.511674	+03.663328	15.901
03100026+0341035 	047.501097	+03.684329	15.892
03093968+0337201 	047.415347	+03.622271	15.887
03094396+0338204 	047.433194	+03.639004	15.857
03094707+0339166 	047.446126	+03.654631	11.442
03094123+0340294 	047.421794	+03.674835	14.562
03093559+0340274 	047.398323	+03.674283	14.831
03095765+0341583 	047.490247	+03.699547	15.566
03095467+0342039 	047.477802	+03.701086	15.847
03094382+0341286 	047.432602	+03.691299	15.272
03094086+0341534 	047.420255	+03.698174	13.632
03094562+0342236 	047.440120	+03.706567	16.057
03094515+0342273 	047.438151	+03.707603	15.700
03094908+0342103 	047.454534	+03.702877	15.009
03095415+0342323 	047.475635	+03.708983	14.082
03095187+0343021 	047.466153	+03.717262	14.795
03101231+0339506 	047.551299	+03.664076	15.894
03101594+0340239 	047.566449	+03.673324	15.529
03101464+0340465 	047.561032	+03.679601	14.974
03100753+0340401 	047.531393	+03.677814	15.361
03101129+0341278 	047.547045	+03.691078	15.329
03100733+0341444 	047.530559	+03.695683	14.419
03100209+0341318 	047.508748	+03.692191	15.757
03100836+0342184 	047.534862	+03.705120	14.246
03101080+0342037 	047.545011	+03.701033	14.621
03102168+0342066 	047.590345	+03.701860	14.744
03102178+0342417 	047.590771	+03.711585	12.883
03101790+0343002 	047.574584	+03.716724	16.050
03103109+0343495 	047.629547	+03.730432	17.098
03102654+0344233 	047.610599	+03.739807	15.341
03102119+0345017 	047.588313	+03.750491	15.766
03101781+0345106 	047.574242	+03.752960	15.306
03100544+0343010 	047.522699	+03.716968	15.619
03095885+0342304 	047.495237	+03.708447	15.514
03095434+0343591 	047.476419	+03.733100	13.599
03095907+0344598 	047.496155	+03.749961	12.386
03101804+0345483 	047.575193	+03.763444	15.170
03101946+0346254 	047.581106	+03.773727	15.704
03101530+0346230 	047.563758	+03.773076	15.702
03101502+0346281 	047.562600	+03.774485	15.430
03101444+0346318 	047.560169	+03.775515	16.141
03100536+0345424 	047.522368	+03.761802	14.298
03100445+0345555 	047.518562	+03.765426	16.045
03101018+0346335 	047.542444	+03.775991	12.729
03100969+0346504 	047.540394	+03.780676	17.272
03101539+0347375 	047.564136	+03.793751	15.439
03093600+0341049 	047.400024	+03.684716	15.226
03093350+0342104 	047.389613	+03.702916	15.493
03093408+0342259 	047.392032	+03.707211	14.445
03093432+0342267 	047.393031	+03.707441	14.382
03092711+0341322 	047.362980	+03.692282	13.802
03094017+0342010 	047.417396	+03.700299	15.159
03093935+0342532 	047.413992	+03.714791	15.550
03093663+0343056 	047.402648	+03.718238	15.249
03093865+0343282 	047.411044	+03.724505	10.652
03093973+0343391 	047.415579	+03.727532	15.704
03094080+0344136 	047.420038	+03.737138	12.157
03094212+0345390 	047.425509	+03.760854	12.675
03094022+0345464 	047.417597	+03.762904	15.530
03093914+0345561 	047.413118	+03.765602	14.695
03092352+0343244 	047.348036	+03.723454	13.532
03092435+0343325 	047.351468	+03.725709	14.394
03091601+0344001 	047.316727	+03.733370	15.655
03091166+0343445 	047.298604	+03.729046	14.753
03091119+0344184 	047.296641	+03.738451	14.018
03091457+0344263 	047.310738	+03.740644	14.479
03092249+0345262 	047.343732	+03.757281	15.044
03091823+0344576 	047.325992	+03.749357	15.949
03091669+0345361 	047.319563	+03.760042	16.078
03091870+0345589 	047.327939	+03.766371	14.035
03093367+0346004 	047.390316	+03.766778	12.396
03092076+0346027 	047.336527	+03.767430	14.451
03094930+0344553 	047.455432	+03.748703	14.319
03095545+0345138 	047.481053	+03.753842	15.543
03095620+0345501 	047.484197	+03.763929	12.587
03100022+0346205 	047.500946	+03.772379	15.451
03094343+0346430 	047.430988	+03.778635	15.264
03095009+0347329 	047.458745	+03.792481	13.127
03095794+0348242 	047.491426	+03.806730	14.625
03095607+0348521 	047.483630	+03.814496	13.758
03100077+0348444 	047.503215	+03.812351	15.353
03094118+0348059 	047.421604	+03.801654	15.695
03094116+0348356 	047.421512	+03.809893	15.879
03093576+0347497 	047.399001	+03.797158	12.092
03093786+0348162 	047.407759	+03.804511	15.921
03093056+0348258 	047.377334	+03.807175	15.599
03093458+0348478 	047.394118	+03.813283	14.816
03094226+0349483 	047.426121	+03.830095	15.652
03094211+0349438 	047.425496	+03.828860	15.728
03093882+0350138 	047.411755	+03.837177	15.377
03095200+0349434 	047.466698	+03.828735	14.096
03095234+0349508 	047.468115	+03.830802	15.378
03094828+0349239 	047.451176	+03.823327	13.520
03095584+0351109 	047.482680	+03.853032	15.399
03094699+0351170 	047.445816	+03.854723	10.718
03094940+0351220 	047.455863	+03.856119	15.062
03070108+0318387 	046.754523	+03.310754	14.516
03070939+0319233 	046.789160	+03.323161	15.500
03070461+0318511 	046.769245	+03.314207	15.004
03070284+0319192 	046.761849	+03.322024	15.814
03070500+0319446 	046.770869	+03.329068	15.206
03070843+0319369 	046.785153	+03.326919	15.588
03070555+0320163 	046.773145	+03.337874	15.421
03070462+0320576 	046.769263	+03.349346	15.623
03071261+0320009 	046.802580	+03.333606	14.996
03071531+0320099 	046.813799	+03.336107	15.664
03070993+0320327 	046.791394	+03.342422	15.710
03071204+0320515 	046.800167	+03.347648	15.646
03071221+0320584 	046.800880	+03.349581	15.021
03071559+0322033 	046.814996	+03.367604	10.673
03071558+0322089 	046.814946	+03.369150	 8.115
03070745+0321211 	046.781042	+03.355886	14.354
03070515+0321198 	046.771472	+03.355524	15.682
03071346+0321588 	046.806114	+03.366340	16.259
03071151+0322042 	046.797971	+03.367850	16.029
03070858+0322455 	046.785786	+03.379322	15.082
03065142+0320187 	046.714279	+03.338541	15.330
03065521+0320134 	046.730048	+03.337072	12.883
03065715+0321152 	046.738127	+03.354245	12.825
03065338+0321229 	046.722447	+03.356369	14.748
03065739+0322234 	046.739150	+03.373175	14.991
03064804+0320548 	046.700168	+03.348556	15.455
03064758+0322045 	046.698264	+03.367942	15.693
03065360+0322046 	046.723345	+03.367950	13.662
03065132+0322111 	046.713841	+03.369752	14.515
03065369+0322286 	046.723728	+03.374630	15.291
03064894+0323059 	046.703950	+03.384974	15.570
03065258+0323242 	046.719107	+03.390080	14.306
03065138+0323397 	046.714109	+03.394366	16.307
03070233+0321491 	046.759729	+03.363657	15.549
03070778+0323044 	046.782427	+03.384580	15.336
03070663+0323123 	046.777635	+03.386769	14.531
03065348+0324021 	046.722849	+03.400600	16.726
03070085+0324588 	046.753559	+03.416348	11.994
03072189+0322164 	046.841221	+03.371246	14.901
03072467+0323442 	046.852817	+03.395620	15.040
03073003+0324156 	046.875133	+03.404342	15.149
03072757+0324263 	046.864895	+03.407321	13.080
03072053+0324162 	046.835561	+03.404509	15.528
03071661+0324054 	046.819221	+03.401507	15.270
03072038+0324524 	046.834928	+03.414576	15.933
03072069+0325206 	046.836238	+03.422393	14.878
03073821+0324590 	046.909220	+03.416404	14.586
03073430+0324528 	046.892923	+03.414680	 8.744
03072982+0324542 	046.874286	+03.415072	14.886
03074280+0325544 	046.928362	+03.431799	15.120
03072749+0326390 	046.864564	+03.444182	14.280
03073297+0328023 	046.887387	+03.467317	14.476
03071029+0325069 	046.792914	+03.418611	15.623
03070805+0325417 	046.783567	+03.428250	15.812
03071257+0326299 	046.802404	+03.441651	14.465
03071544+0326426 	046.814354	+03.445187	15.937
03071029+0326575 	046.792894	+03.449320	13.550
03071159+0327103 	046.798324	+03.452862	14.869
03071119+0327202 	046.796629	+03.455625	13.495
03072267+0326281 	046.844489	+03.441163	14.755
03072586+0326570 	046.857779	+03.449193	14.171
03072202+0327344 	046.841788	+03.459560	15.468
03072825+0328330 	046.867720	+03.475846	12.780
03071750+0327252 	046.822953	+03.457002	14.795
03071932+0328147 	046.830505	+03.470767	15.083
03071855+0328320 	046.827293	+03.475566	14.365
03072654+0329318 	046.860603	+03.492171	13.755
03072453+0329217 	046.852226	+03.489378	15.487
03064071+0322010 	046.669654	+03.366949	14.368
03064409+0322421 	046.683714	+03.378368	15.670
03063774+0322350 	046.657286	+03.376393	13.044
03064855+0324123 	046.702333	+03.403420	15.196
03064673+0324377 	046.694711	+03.410476	14.746
03064709+0324348 	046.696214	+03.409692	15.885
03063584+0323418 	046.649371	+03.394957	14.974
03063415+0324161 	046.642331	+03.404495	14.542
03065019+0324390 	046.709154	+03.410835	15.621
03065182+0325487 	046.715925	+03.430208	14.364
03065506+0325409 	046.729431	+03.428031	15.366
03065933+0325535 	046.747213	+03.431540	13.167
03065558+0325490 	046.731601	+03.430278	14.563
03064642+0325206 	046.693437	+03.422412	15.489
03064211+0326176 	046.675499	+03.438224	13.831
03065245+0326300 	046.718554	+03.441672	14.285
03065143+0327438 	046.714317	+03.462174	12.696
03062896+0324132 	046.620693	+03.403677	15.216
03063062+0326421 	046.627622	+03.445044	15.630
03063416+0326558 	046.642367	+03.448859	14.957
03065967+0326403 	046.748632	+03.444545	15.636
03070962+0327552 	046.790119	+03.465353	13.584
03071058+0328236 	046.794113	+03.473236	15.039
03065745+0328180 	046.739388	+03.471681	12.311
03070033+0328468 	046.751413	+03.479676	15.610
03070068+0329260 	046.752843	+03.490559	15.308
03071218+0328446 	046.800781	+03.479059	15.980
03071508+0328593 	046.812871	+03.483151	14.642
03071659+0329401 	046.819152	+03.494499	15.511
03072138+0330484 	046.839099	+03.513446	15.725
03071514+0331176 	046.813105	+03.521556	16.212
03071672+0331288 	046.819690	+03.524679	16.353
03064966+0329017 	046.706942	+03.483811	16.180
03065303+0329398 	046.720962	+03.494394	15.632
03065850+0330003 	046.743786	+03.500103	14.863
03064605+0329480 	046.691912	+03.496668	15.692
03064762+0331138 	046.698432	+03.520501	15.918
03065447+0331553 	046.726979	+03.532028	14.966
03070372+0331573 	046.765506	+03.532585	14.943
03070635+0332447 	046.776488	+03.545777	15.513
03070757+0333376 	046.781551	+03.560463	13.923
03065451+0333217 	046.727155	+03.556050	13.610
03070017+0333332 	046.750748	+03.559226	16.005
03070088+0334111 	046.753690	+03.569768	13.543
03070086+0334154 	046.753584	+03.570971	14.523
03075342+0328104 	046.972592	+03.469574	15.776
03074772+0328245 	046.948860	+03.473493	14.634
03073584+0328168 	046.899370	+03.471359	15.386
03073576+0328418 	046.899013	+03.478296	16.023
03074601+0329411 	046.941719	+03.494762	14.756
03075360+0329581 	046.973373	+03.499485	12.849
03080158+0330151 	047.006587	+03.504202	14.978
03080262+0330194 	047.010950	+03.505389	15.219
03080292+0330250 	047.012202	+03.506955	14.872
03074866+0329392 	046.952765	+03.494240	14.581
03075086+0330281 	046.961920	+03.507821	13.108
03075157+0330574 	046.964881	+03.515946	15.388
03074625+0330333 	046.942716	+03.509276	11.707
03074931+0330533 	046.955469	+03.514807	14.158
03075068+0331449 	046.961168	+03.529154	15.428
03075444+0331553 	046.976838	+03.532035	12.503
03073642+0329453 	046.901781	+03.495923	13.505
03073695+0330402 	046.903977	+03.511174	14.919
03072694+0329442 	046.862261	+03.495626	14.634
03073084+0330588 	046.878518	+03.516353	16.193
03075060+0332063 	046.960872	+03.535090	14.590
03074038+0332596 	046.918258	+03.549907	15.141
03074289+0333223 	046.928722	+03.556196	13.737
03074688+0333279 	046.945369	+03.557771	15.339
03074457+0334204 	046.935711	+03.572337	16.314
03080590+0331249 	047.024612	+03.523608	14.454
03080723+0332021 	047.030164	+03.533936	15.679
03080075+0332387 	047.003160	+03.544088	15.834
03080127+0333304 	047.005305	+03.558458	15.043
03081608+0333586 	047.067034	+03.566283	14.678
03081905+0334297 	047.079412	+03.574940	12.226
03080949+0334198 	047.039574	+03.572170	15.504
03080920+0334443 	047.038341	+03.578986	16.030
03081161+0335438 	047.048375	+03.595514	14.858
03081579+0335199 	047.065817	+03.588888	11.395
03081626+0336075 	047.067772	+03.602086	15.745
03081111+0336152 	047.046329	+03.604247	11.077
03075674+0333151 	046.986458	+03.554196	15.011
03075871+0334236 	046.994629	+03.573227	13.427
03080126+0334533 	047.005269	+03.581491	14.901
03074802+0335424 	046.950119	+03.595115	15.115
03075876+0336214 	046.994845	+03.605949	15.826
03080591+0335427 	047.024648	+03.595222	15.130
03080470+0335406 	047.019624	+03.594633	12.573
03080818+0336028 	047.034094	+03.600786	17.373
03080408+0336090 	047.017033	+03.602514	15.804
03080094+0336006 	047.003938	+03.600177	13.138
03080069+0336064 	047.002886	+03.601805	15.088
03080939+0336360 	047.039157	+03.610022	14.386
03081373+0337291 	047.057215	+03.624756	15.828
03080034+0336300 	047.001433	+03.608350	15.353
03075966+0336369 	046.998608	+03.610252	15.077
03080123+0338005 	047.005162	+03.633494	15.425
03075876+0337559 	046.994847	+03.632199	12.683
03075900+0338014 	046.995874	+03.633741	13.419
03080538+0337486 	047.022435	+03.630180	15.876
03080402+0337521 	047.016755	+03.631150	15.613
03080419+0338057 	047.017462	+03.634936	15.790
03080266+0338305 	047.011124	+03.641827	16.818
03072713+0331487 	046.863062	+03.530210	15.421
03071926+0331429 	046.830281	+03.528595	15.337
03072573+0332597 	046.857244	+03.549934	15.780
03072507+0333008 	046.854494	+03.550245	15.249
03072429+0333151 	046.851235	+03.554206	15.549
03072415+0333554 	046.850649	+03.565400	14.983
03073475+0333116 	046.894793	+03.553237	14.641
03070837+0334048 	046.784893	+03.568016	15.807
03071365+0334204 	046.806912	+03.572345	13.504
03071186+0335501 	046.799444	+03.597275	15.580
03070990+0336390 	046.791283	+03.610839	14.967
03071101+0336516 	046.795909	+03.614356	15.533
03071440+0337084 	046.810018	+03.619015	15.628
03071890+0337309 	046.828780	+03.625250	14.616
03072674+0338044 	046.861453	+03.634560	15.563
03072050+0338090 	046.835451	+03.635840	16.298
03071944+0338135 	046.831000	+03.637100	12.705
03074787+0337483 	046.949468	+03.630093	14.814
03074935+0338178 	046.955666	+03.638290	14.619
03074751+0338374 	046.947988	+03.643742	17.247
03073989+0338147 	046.916218	+03.637418	13.859
03075754+0338016 	046.989773	+03.633788	15.351
03075921+0338430 	046.996742	+03.645283	15.233
03075938+0338409 	046.997424	+03.644713	15.195
03080163+0339130 	047.006810	+03.653633	10.721
03075073+0339476 	046.961401	+03.663235	11.920
03075553+0339520 	046.981416	+03.664466	14.854
03075126+0340395 	046.963590	+03.677649	14.451
03073334+0337519 	046.888925	+03.631095	14.964
03073526+0339000 	046.896954	+03.650015	14.918
03073805+0340068 	046.908560	+03.668565	16.578
03072638+0339064 	046.859924	+03.651782	13.738
03072783+0339364 	046.865991	+03.660124	15.672
03072807+0339415 	046.866973	+03.661549	15.110
03072739+0340253 	046.864152	+03.673718	15.560
03072942+0340380 	046.872614	+03.677244	15.784
03073190+0340498 	046.882918	+03.680520	14.461
03074710+0341026 	046.946252	+03.684062	14.891
03074258+0340283 	046.927435	+03.674554	15.658
03074912+0341279 	046.954680	+03.691104	15.796
03074691+0341412 	046.945477	+03.694785	14.963
03073973+0342082 	046.915568	+03.702296	14.238
03074704+0342321 	046.946010	+03.708921	15.567
03074662+0342516 	046.944267	+03.714351	15.635
03074395+0343533 	046.933163	+03.731479	13.172
03061952+0326044 	046.581344	+03.434575	15.777
03062317+0326514 	046.596554	+03.447621	11.033
03061913+0327069 	046.579749	+03.451942	13.505
03061626+0327031 	046.567791	+03.450866	11.352
03062645+0327453 	046.610242	+03.462584	12.200
03062148+0328107 	046.589512	+03.469642	15.732
03062359+0328526 	046.598327	+03.481280	14.348
03061354+0327226 	046.556448	+03.456301	15.641
03061495+0328007 	046.562292	+03.466887	15.369
03061703+0328234 	046.570976	+03.473180	15.617
03061969+0330213 	046.582070	+03.505931	16.130
03062713+0329001 	046.613064	+03.483368	14.706
03062810+0329292 	046.617113	+03.491457	16.111
03063724+0330567 	046.655174	+03.515774	17.299
03062758+0330129 	046.614944	+03.503607	14.510
03062424+0331035 	046.601011	+03.517652	15.694
03063406+0331425 	046.641940	+03.528481	15.755
03060905+0328353 	046.537716	+03.476490	14.947
03060921+0328395 	046.538392	+03.477663	14.392
03061041+0328525 	046.543412	+03.481257	16.223
03060949+0330194 	046.539577	+03.505415	14.285
03061884+0330331 	046.578505	+03.509214	15.599
03060323+0329339 	046.513467	+03.492757	14.681
03060382+0331005 	046.515955	+03.516824	13.906
03060816+0330582 	046.534036	+03.516193	 9.369
03061080+0331367 	046.545008	+03.526883	15.975
03060635+0331165 	046.526493	+03.521256	14.863
03062247+0331384 	046.593638	+03.527354	14.173
03061834+0331303 	046.576453	+03.525094	14.518
03061813+0331376 	046.575570	+03.527125	14.848
03061871+0333220 	046.577968	+03.556125	15.459
03064330+0331489 	046.680440	+03.530268	13.689
03064794+0333264 	046.699760	+03.557359	12.685
03064605+0333348 	046.691895	+03.559667	15.579
03064103+0332534 	046.670963	+03.548168	14.677
03064421+0333337 	046.684211	+03.559379	17.177
03065238+0333421 	046.718278	+03.561716	12.808
03064912+0334027 	046.704706	+03.567418	11.586
03065741+0335083 	046.739243	+03.585650	15.517
03063078+0333184 	046.628271	+03.555138	14.954
03062597+0333403 	046.608210	+03.561198	15.043
03063745+0334284 	046.656062	+03.574562	16.042
03063325+0334379 	046.638558	+03.577203	14.548
03063699+0335301 	046.654155	+03.591720	14.154
03062634+0335155 	046.609788	+03.587650	15.559
03062342+0334552 	046.597615	+03.582013	14.085
03064028+0335519 	046.667867	+03.597771	13.739
03064007+0336574 	046.666976	+03.615954	15.638
03064899+0337340 	046.704149	+03.626132	15.569
03064608+0337259 	046.692037	+03.623881	15.049
03063107+0337148 	046.629466	+03.620780	13.964
03064273+0338394 	046.678045	+03.644279	12.885
03064177+0338582 	046.674065	+03.649501	15.790
03055575+0332013 	046.482309	+03.533701	15.942
03060624+0332247 	046.526001	+03.540208	12.825
03060457+0332436 	046.519060	+03.545446	15.267
03060646+0332548 	046.526955	+03.548564	13.325
03060346+0333045 	046.514439	+03.551251	12.335
03060252+0333345 	046.510500	+03.559604	15.658
03055897+0333227 	046.495731	+03.556316	14.936
03060030+0334061 	046.501265	+03.568378	15.202
03055644+0334319 	046.485175	+03.575553	14.919
03061023+0333178 	046.542662	+03.554969	14.720
03060878+0333430 	046.536600	+03.561957	14.164
03060679+0334080 	046.528292	+03.568903	15.487
03061731+0334531 	046.572166	+03.581439	15.859
03061114+0334562 	046.546425	+03.582299	15.399
03061414+0335094 	046.558941	+03.585945	14.056
03060299+0334153 	046.512464	+03.570918	14.486
03060171+0335183 	046.507143	+03.588439	15.525
03060825+0335554 	046.534384	+03.598745	15.470
03060853+0335549 	046.535583	+03.598598	15.653
03060728+0335520 	046.530362	+03.597792	13.444
03054684+0333140 	046.445192	+03.553906	16.426
03054811+0333445 	046.450474	+03.562374	14.358
03055547+0335110 	046.481154	+03.586411	15.191
03055214+0335121 	046.467266	+03.586704	15.357
03054911+0334593 	046.454647	+03.583143	14.866
03054763+0335485 	046.448459	+03.596813	16.029
03055087+0335562 	046.461961	+03.598949	15.061
03054862+0336278 	046.452592	+03.607740	14.138
03054890+0336345 	046.453764	+03.609598	14.889
03054917+0336368 	046.454880	+03.610234	15.249
03054827+0336539 	046.451135	+03.614982	14.826
03060097+0336037 	046.504083	+03.601028	16.267
03060235+0337021 	046.509792	+03.617273	15.477
03055350+0336120 	046.472933	+03.603349	15.765
03055545+0336441 	046.481050	+03.612261	15.593
03055112+0337041 	046.463041	+03.617820	14.657
03055267+0337159 	046.469479	+03.621090	15.616
03055425+0337515 	046.476065	+03.630989	15.517
03061979+0335587 	046.582497	+03.599642	16.262
03062075+0337227 	046.586466	+03.622989	15.519
03061625+0337153 	046.567725	+03.620930	14.950
03061185+0337028 	046.549395	+03.617461	14.710
03062136+0337391 	046.589007	+03.627531	14.959
03061693+0338461 	046.570557	+03.646166	13.663
03063133+0338394 	046.630577	+03.644286	13.106
03063307+0339095 	046.637814	+03.652664	15.230
03062224+0339243 	046.592703	+03.656770	15.088
03062609+0340168 	046.608748	+03.671350	15.775
03062761+0340389 	046.615080	+03.677484	12.650
03063027+0341172 	046.626138	+03.688119	15.724
03062990+0341195 	046.624601	+03.688766	16.155
